UID,date,count,lat,lon,cumsum,gf
84042101,2020-01-22,0,40.00338507,-75.1379271,0, 0.000
84042103,2020-01-22,0,41.33155042,-75.03208106,0, 0.000
84042107,2020-01-22,0,40.70497338,-76.2150785,0, 0.000
84042125,2020-01-22,0,40.19208869,-80.24582867,0, 0.000
84042129,2020-01-22,0,40.31377979999999,-79.46615476,0, 0.000
84042133,2020-01-22,0,39.9210089,-76.73040131,0, 0.000
84044003,2020-01-22,0,41.67106337,-71.57641596,0, 0.000
84044007,2020-01-22,0,41.87064746,-71.57753536,0, 0.000
84044009,2020-01-22,0,41.45961631,-71.61435303,0, 0.000
84045007,2020-01-22,0,34.51828081,-82.63959517,0, 0.000
84045013,2020-01-22,0,32.39226291,-80.72619758,0, 0.000
84045015,2020-01-22,0,33.20222596,-79.94654523,0, 0.000
84045019,2020-01-22,0,32.82487866,-79.96512315,0, 0.000
84045027,2020-01-22,0,33.66610974,-80.21647898,0, 0.000
84045045,2020-01-22,0,34.89502264,-82.37295012,0, 0.000
84045051,2020-01-22,0,33.9212828,-78.99555293,0, 0.000
84045055,2020-01-22,0,34.33988254,-80.58763164,0, 0.000
84045063,2020-01-22,0,33.89665987,-81.27146426,0, 0.000
84045079,2020-01-22,0,34.01791263,-80.90267209,0, 0.000
84045083,2020-01-22,0,34.92960077,-81.99225984,0, 0.000
84045085,2020-01-22,0,33.91826534,-80.37942316,0, 0.000
84045091,2020-01-22,0,34.97281497,-81.18085944,0, 0.000
84046099,2020-01-22,0,43.67441641,-96.7910885,0, 0.000
84047037,2020-01-22,0,36.17007426,-86.78646056,0, 0.000
84047065,2020-01-22,0,35.17670231,-85.16652245,0, 0.000
84047093,2020-01-22,0,35.99508821,-83.946354349999993,0, 0.000
84047125,2020-01-22,0,36.49609412,-87.38550661,0, 0.000
84047141,2020-01-22,0,36.14005459,-85.50646123,0, 0.000
84047147,2020-01-22,0,36.52454807,-86.87346725,0, 0.000
