UID,lat,lon,FIPS
84013297,33.78017694,-83.73552314,13297
84013299,31.05449097,-82.42224148,13299
84013301,33.41146451,-82.67795848,13301
84013303,32.96711864,-82.79357039,13303
84013305,31.5521809,-81.91894878,13305
84013307,32.04066113,-84.54742852,13307
84013309,32.12009104,-82.72574721,13309
84013311,34.64624278,-83.74905525,13311
84013313,34.80987459,-84.96093476,13313
84013315,31.97496928,-83.43438555,13315
84013317,33.78290391,-82.74286107,13317
84013319,32.80291082,-83.17140684,13319
84013321,31.55162306,-83.85090513,13321
84015001,19.60121157,-155.5210167,15001
84015003,21.45803166,-157.9712182,15003
84015005,21.17882515,-156.9583592,15005
84015007,22.03935037,-159.5966786,15007
84015009,20.86399628,-156.5689097,15009
84016001,43.4526575,-116.2415516,16001
84016003,44.89333571,-116.4545247,16003
84016005,42.67002716,-112.2233311,16005
84016007,42.28269683,-111.3289238,16007
84016009,47.21754179,-116.6586851,16009
84016011,43.2167288,-112.3978437,16011
84016013,43.4085812,-113.9752658,16013
84016015,43.98829931,-115.7309284,16015
84016017,48.29996017,-116.6017932,16017
84016019,43.38713372,-111.6161537,16019
84016021,48.76684761,-116.4630179,16021
84016023,43.72592209,-113.1735463,16023
84016025,43.46665742,-114.8065892,16025
84016027,43.61970148,-116.7095499,16027
84016029,42.77149116,-111.5597683,16029
84016031,42.28347888,-113.6012409,16031
84016033,44.28496071,-112.3505704,16033
84016035,46.67459924,-115.6622393,16035
84016037,44.24186819,-114.2855494,16037
84016039,43.3507101,-115.4701578,16039
84016041,42.18332217,-111.8149666,16041
84016043,44.22800938,-111.4809943,16043
84016045,44.06482372,-116.398376,16045
84016047,42.96927962,-114.8108306,16047
84016049,45.84721541,-115.4634436,16049
84016051,43.82078483,-112.3131749,16051
84016053,42.68891267,-114.2655033,16053
84016055,47.67282258,-116.7020872,16055
84016057,46.81587887,-116.7113698,16057
84016059,44.9438088,-113.9309747,16059
84016061,46.23315327,-116.434146,16061
84016063,43.0012336,-114.1358773,16063
84016065,43.78141028,-111.6538474,16065
84016067,42.85518524,-113.6357257,16067
84016069,46.32638236,-116.7500975,16069
